Name,CountryCode,Latitude,Longitude
Abaco,BS,26.5412,-77.0636
Acklins,BS,22.43167,-73.96417
Andros,BS,24.6982,-77.7706
Arthur’s Town,BS,24.1708,-75.4691
Bain and Grants Town,BS,25.0343,-77.3963
Bamboo Town,BS,25.0343,-77.3963
Bell Island,BS,24.306111,-76.557778
Berry Islands,BS,25.72111,-77.83139
Bimini,BS,25.70444,-79.28889
Black Point,BS,24.09,-76.39556
Carmichael,BS,25.0343,77.3963
Cat Island,BS,24.335,-75.4575
Centreville,BS,25.0343,-77.3963
Central Abaco,BS,26.43917,-77.12972
Central Andros,BS,24.43889,-77.95194
Central Eleuthera,BS,25.135,-76.14556
City of Freeport,BS,26.52028,-78.64528
Clarence Town,BS,23.1558,-74.9497
Crooked Island & Long Cay,BS,22.73361,-74.21528
East Grand Bahama,BS,26.67167,-78.14139
Eleuthera,BS,25.1998,-76.2439
Elizabeth,BS,25.0343,-77.3963
Englerston,BS,25.0493,-77.3413
Exuma,BS,23.56944,-75.88417
Freetown,BS,24.7784,-76.2783
Fort Charlotte,BS,25.0770,-77.3590
Fox Hill,BS,25.0283,-77.2925
Garden Hills,BS,25.0394,-77.3491
George Town,BS,23.5142,-75.7830
Golden Gates,BS,25.0321,-77.3490
Golden Isles,BS,25.007,-77.3902
Grand Bahama,BS,26.5334,-78.6425
Grand Cay,BS,27.22917,-78.33056
Governor’s Harbour,BS,25.1998,-76.2439
Harbour Island,BS,25.48946,-76.63513
Hope Town,BS,26.77111,-77.32889
Inagua,BS,21.07694,-73.31167
Killarney,BS,25.0343,-77.3963
Long Island,BS,23.21667,-75.11167
Mangrove,BS,24.16,-77.78028
Marathon,BS,25.0343,-77.3963
Mayaguana,BS,22.38417,-72.95389
Mangrove Cay,BS,24.2155,-77.7965
Marsh Harbour,BS,26.5412,-77.0636
Moore’s Island,BS,26.30083,-77.55417
Mount Moriah,BS,25.0343,-77.3963
Nassau,BS,25.0343,-77.3963
Nassau Village,BS,25.0443,-77.3504
New Providence,BS,25.03333,-77.28333
North Abaco,BS,26.78944,-77.43694
North Andros,BS,24.76694,-78.09611
North Eleuthera,BS,25.46278,-76.67556
Over Yonder Cay,BS,24.2255,-76.4787
Pinewood,BS,25.0159,-77.3963
Ragged Island,BS,22.37083,-75.815
Rum Cay,BS,23.67806,-74.85667
San Salvador,BS,24.03667,-74.49306
Sea Breeze,BS,25.0348,-77.3100
Sea Southern Shores,BS,25.0343,-77.3963
South Beach,BS,25.0167,-77.3333
South Abaco,BS,26.04694,-77.24361
South Andros,BS,23.92361,-77.64889
South Eleuthera,BS,24.80083,-76.18306
Spanish Wells,BS,25.54538,-76.77057
St Annes,BS,25.0526,-77.2910
St Barnabas,BS,25.0616,-77.3476
Staniel Cay,BS,24.1695,-76.4398
Stocking Island,BS,23.5129,-75.7841
Tall Pines,BS,25.03106,-77.39787
West End Bahama,BS,26.59333,-78.60056
Warwick Wells Cay,BS,24.38705,-76.62374
Yamacraw,BS,25.0270,-77.2656
